,precision,recall,f1,support
smooth-or-featured,0.8803841250018053,0.8810024640903901,0.8806372611988922,49917
disk-edge-on,0.956760414874142,0.9572029783101327,0.9564652892242583,15445
has-spiral-arms,0.8926625859055376,0.887609841827768,0.8896737081245382,11380
bar,0.6982024229549052,0.7102811950790862,0.6773410823726536,11380
bulge-size,0.6895291543129922,0.6956942003514939,0.6737310748543306,11380
how-rounded,0.8756658014755648,0.8747463567607453,0.8749274297495512,32526
edge-on-bulge,0.8263318476299114,0.8254545454545454,0.7942043168846452,2475
spiral-winding,0.694899683402825,0.7066275503400453,0.6964712985311174,7499
spiral-arm-count,0.6951253356964632,0.6736898253100413,0.6675193558645367,7499
merging,0.8510579638976968,0.8822060227018905,0.8549840624044309,49247
