precision,recall,f1,support
0.5834863654535074,0.3852855740529278,0.42264531854750886,49917
0.6544075854568543,0.6330980899967628,0.6431506627610656,15445
0.7284102918528027,0.7022847100175745,0.7140103553521896,11380
0.45779383425001907,0.32643233743409483,0.32201872423965705,11380
0.44036134270126137,0.28624780316344467,0.31114064378639816,11380
0.4448131220811792,0.409235688372379,0.4097911488490541,32526
0.6085003507844149,0.4274343434343434,0.44311450528568563,2475
0.4305367685993809,0.3983331110814775,0.3947115681340113,7499
0.4290735801035196,0.20618749166555542,0.24396513447477614,7499
0.7523218091962932,0.2685564602919975,0.34754029887376575,49247
